RBC	RBC_Score	FBC	FBC_Score
RB09	94.9281	NB83	77.5424
RB09	100	unclassified	58.0101
RB10	100	NB92	81.2925
unclassified	42.2654		0
RB10	100	unclassified	48.0948
RB10	76.5599	NB07	94.9153
RB10	81.7875	NB68	79.7954
RB11	100	NB55	100
RB10	100	unclassified	60.339
RB09	100	NB64	81.5034
RB12	90.8634	NB24	100
RB12	100	unclassified	41.9847
unclassified	37.9832		0
RB11	91.7797	NB51	100
unclassified	60.0855		0
RB10	90.7392	NB07	100
unclassified	39.9156		0
RB12	84.912	unclassified	37.8173
unclassified	51.1864		0
RB12	74.0989	NB83	100
RB12	75.5556	NB79	100
RB11	100	NB82	100
RB09	90.8707	unclassified	41.3356
RB11	79.8305	NB82	100
RB10	100	NB11	85.6298
RB11	100	NB45	100
RB09	100	NB31	100
RB10	83.8573	unclassified	45.5236
RB10	83.5174	NB94	81.6034
RB11	100	NB46	100
unclassified	32.1398		0
RB09	100	NB55	74.8092
RB12	100	unclassified	43.9229
RB10	87.6805	NB34	100
RB11	90.7861	NB82	100
unclassified	44.8014		0
RB09	100	NB09	100
unclassified	37.808		0
RB11	87.6585	unclassified	41.1318
RB09	78.4081	NB84	100
RB10	100	NB93	80.5907
RB11	100	NB37	91.723
unclassified	42.2654		0
RB11	100	NB08	76.4557
RB09	100	NB89	100
unclassified	67.094		0
RB11	100	NB53	100
unclassified	41.7797		0
RB10	91.7587	NB44	100
RB09	100	unclassified	37.9019
unclassified	38.6364		0
unclassified	34.2128		0
RB11	70.5932	NB92	100
unclassified	42.2654		0
RB12	73.9316	NB83	100
RB11	100	NB89	100
RB12	100	NB90	100
RB12	100	NB67	100
RB10	80.6071	unclassified	37.0245
unclassified	50.5042		0
RB09	100	NB37	100
RB11	84.7844	unclassified	67.8571
RB09	85.7988	NB44	100
RB09	100	NB30	100
unclassified	37.7104		0
RB10	94.9023	NB68	100
unclassified	41.1915		0
unclassified	50.2131		0
RB10	83.5582	unclassified	36.2025
RB09	100	NB95	100
RB10	100	NB61	94.9196
RB09	100	NB86	100
unclassified	41.5126		0
unclassified	43.6179		0
unclassified	35.6962		0
RB10	100	unclassified	50.5495
unclassified	54.1914		0
RB09	100	NB34	100
RB11	100	NB51	100
RB10	85.6661	NB91	100
RB12	90.7795	NB93	100
RB09	73.3277	NB71	100
unclassified	43.8819		0
RB12	94.9707	NB86	100
RB11	100	NB53	79.7286
RB11	100	unclassified	41.9983
RB09	84.928	NB05	100
unclassified	39.2491		0
RB09	100	unclassified	41.9983
RB10	70.4333	NB68	95.8227
RB12	94.8718	NB34	100
RB10	100	unclassified	38.0872
RB10	100	unclassified	39.8986
unclassified	55.9829		0
RB10	100	unclassified	34.6317
unclassified	42.2654		0
RB10	100	unclassified	38.4224
RB10	75.1265	unclassified	53.8332
unclassified	42.2654		0
RB09	100	NB78	91.8298
RB09	100	unclassified	41.8074
RB12	100	NB61	100
RB11	78.9831	NB75	100
unclassified	61.558		0
RB11	100	unclassified	43.086
RB09	90.7861	NB32	100
unclassified	50.2131		0
RB09	82.7265	NB83	90.678
RB09	91.8713	unclassified	39.2706
RB09	100	unclassified	42.8332
RB09	100	NB11	100
RB10	100	NB07	90.678
RB12	94.8718	NB44	83.3474
RB09	94.9196	NB81	91.5825
RB09	100	NB13	91.7866
RB10	71.2829	NB35	90.6859
RB10	81.4503	NB07	100
RB11	100	NB95	90.8397
RB10	86.661	NB57	100
RB09	100	unclassified	66.6384
RB09	100	unclassified	46.0951
RB12	73.9316	NB36	85.5319
unclassified	42.6995		0
RB10	83.5174	NB76	100
unclassified	47.8078		0
RB10	83.9798	NB47	100
RB09	100	unclassified	45.1365
RB10	100	NB44	90.8707
RB09	100	unclassified	34.6577
RB11	90.678	NB06	87.4262
RB10	100	unclassified	45.2623
unclassified	53.6256		0
RB11	100	NB02	100
RB09	100	unclassified	42.9054
RB10	100	unclassified	44.5101
unclassified	42.2654		0
RB10	95.7841	NB05	100
RB09	100	unclassified	57.0332
RB11	100	NB05	90.7234
RB10	85.7504	unclassified	35.8539
RB12	100	unclassified	43.1837
RB11	100	NB09	100
RB10	75.1265	NB84	100
RB10	100	NB83	100
RB09	100	NB96	100
unclassified	39.3345		0
RB11	100	unclassified	41.2162
unclassified	54.359		0
RB11	100	NB26	100
RB11	72.4429	unclassified	58.9331
unclassified	50.5042		0
RB09	87.7223	unclassified	39.0203
unclassified	42.2654		0
RB11	100	NB38	82.3228
RB09	100	unclassified	48.4255
RB09	87.6585	NB45	100
unclassified	35.503		0
RB09	100	unclassified	48.5957
RB10	100	NB70	78.3715
RB10	100	NB35	85.0127
RB10	100	unclassified	44.7749
unclassified	66.2722		0
unclassified	50.2131		0
RB09	78.4081	NB51	74.6835
unclassified	33.9496		0
unclassified	50.5042		0
RB11	100	unclassified	42.8814
unclassified	41.5966		0
unclassified	40.8511		0
RB10	75.1265	unclassified	38.7015
RB12	100	unclassified	45.8054
RB10	94.941	unclassified	42.1677
RB09	100	NB62	100
RB09	95.9356	NB39	100
unclassified	42.2654		0
RB10	100	NB93	100
RB09	100	NB62	86.5596
RB09	78.4081	NB86	85.5442
RB10	86.5093	NB06	100
RB09	82.2485	NB67	90.8326
RB09	100	NB44	100
unclassified	63.7607		0
unclassified	55.3963		0
unclassified	35.4377		0
RB12	71.3675	NB71	100
RB09	83.3474	NB68	91.6454
RB09	100	NB82	100
unclassified	36.4706		0
RB11	90.7627	unclassified	34.6577
unclassified	50.8547		0
RB09	100	unclassified	41.8919
unclassified	50.2131		0
unclassified	46.7797		0
unclassified	43.1224		0
unclassified	42.2654		0
RB09	78.4081	NB84	86.5368
RB11	100	unclassified	38.598
RB10	100	unclassified	47.0935
unclassified	39.234		0
unclassified	33.9241		0
RB12	90.6838	NB32	100
RB09	100	unclassified	38.7532
RB11	90.7627	NB12	81.6429
RB12	87.6068	NB31	100
RB09	100	unclassified	59.1716
RB12	100	NB39	85.8108
RB09	84.7844	NB46	100
RB11	100	unclassified	39.6274
RB12	82.3973	NB86	85.7143
unclassified	49.7887		0
RB09	100	NB78	100
RB11	100	NB46	100
RB11	100	NB39	100
RB12	100	NB77	95.7735
RB09	100	unclassified	35.7264
unclassified	42.2654		0
unclassified	40.3212		0
RB09	100	NB25	100
RB09	100	unclassified	41.006
RB09	100	NB69	94.9367
RB10	100	NB95	75.5725
RB11	95.7735	NB64	85.0507
RB11	100	unclassified	41.9983
RB11	100	NB83	100
RB09	100	NB65	74.8735
RB10	100	NB23	95.8719
RB09	100	unclassified	46.3229
RB11	100	NB45	100
RB10	95.7841	NB51	100
RB09	100	NB46	81.6275
unclassified	50.5042		0
unclassified	43.956		0
unclassified	68.5545		0
RB10	95.7841	NB23	80.7077
RB11	100	NB45	85.5932
unclassified	39.8156		0
unclassified	48.8235		0
unclassified	54.8904		0
RB10	86.576	NB32	100
unclassified	68.1475		0
unclassified	56.9492		0
unclassified	50.2131		0
RB12	95.8974	NB12	94.9707
unclassified	50.2131		0
RB10	95.7841	NB61	100
RB10	100	unclassified	34.6577
RB10	100	unclassified	52.9412
unclassified	46.0169		0
RB10	90.8094	NB76	100
RB10	100	NB69	95.7806
RB10	94.9023	NB95	100
RB09	100	NB69	90.7173
RB12	100	unclassified	42.8571
unclassified	51.3924		0
unclassified	47.1429		0
RB09	100	NB05	100
RB10	71.4165	unclassified	47.6596
unclassified	40.8511		0
unclassified	61.4407		0
RB12	95.8089	NB10	94.9023
RB09	94.9281	NB09	84.9535
RB12	100	NB80	100
unclassified	64.9153		0
RB11	87.6271	unclassified	55.5085
RB10	91.7587	NB11	100
RB12	100	NB60	86.4751
unclassified	50.5042		0
RB12	100	unclassified	34.6577
RB12	100	NB03	100
RB10	100	NB03	100
unclassified	35.6303		0
RB10	100	NB32	91.5182
unclassified	56.4081		0
RB09	100	NB91	83.2629
RB12	90.7795	NB60	100
RB10	100	NB59	90.7771
RB11	100	NB07	100
RB11	91.7797	NB45	100
RB09	100	unclassified	35.5518
unclassified	42.978		0
RB09	100	unclassified	43.7765
RB09	100	NB29	100
RB12	70.4274	unclassified	43.9292
unclassified	42.2654		0
unclassified	50.5042		0
unclassified	47.2574		0
unclassified	69.6867		0
RB10	100	unclassified	46.2838
RB11	100	unclassified	42.9655
RB12	100	NB07	87.7966
RB10	78.4992	unclassified	39.0533
unclassified	69.2438		0
RB11	100	unclassified	41.2415
unclassified	37.7853		0
RB11	100	unclassified	52.1592
RB10	100	unclassified	68.8663
RB11	100	NB12	100
RB10	100	unclassified	42.2819
RB11	100	unclassified	41.6878
RB09	100	NB23	100
unclassified	50.5042		0
RB09	87.7223	NB55	100
unclassified	50.5042		0
RB11	100	NB70	100
RB11	100	NB41	100
RB12	90.7795	NB18	100
RB10	80.7757	NB56	100
RB10	100	NB07	100
RB09	100	unclassified	43.2432
RB09	100	unclassified	67.2866
unclassified	42.2654		0
unclassified	39.0598		0
unclassified	40.8511		0
RB10	100	NB10	100
RB12	72.2222	unclassified	64.8007
RB10	100	NB17	100
RB10	90.7251	NB07	81.3559
unclassified	47.2269		0
RB10	84.7918	NB40	84.9025
unclassified	42.2654		0
RB09	100	unclassified	69.7458
RB09	100	NB15	77.2804
RB12	95.8974	unclassified	38.5072
RB11	100	NB50	100
RB11	100	NB12	95.8089
unclassified	35.3794		0
RB09	95.9356	NB34	100
RB10	85.6661	NB96	100
unclassified	42.2654		0
unclassified	39.3068		0
RB09	100	NB65	81.6189
unclassified	33.8655		0
unclassified	45.3085		0
unclassified	43.1092		0
RB12	100	NB19	100
RB09	100	unclassified	43.0743
unclassified	41.5126		0
unclassified	40.0847		0
RB12	76.4103	NB41	100
RB10	100	NB70	87.447
RB11	100	NB82	86.6215
unclassified	50.2131		0
RB09	84.928	NB68	100
unclassified	25.951		0
RB12	100	NB52	100
RB11	100	NB82	81.4564
unclassified	59.4915		0
RB09	94.9196	NB91	100
RB11	95.7735	unclassified	38.903
RB09	100	unclassified	64.7409
unclassified	42.2654		0
RB10	100	NB22	85.678
RB10	100	NB93	94.9367
RB11	85.7143	unclassified	46.5546
unclassified	50.5042		0
RB09	100	unclassified	37.2982
RB09	95.7735	NB34	100
RB09	100	NB90	100
RB10	91.7587	NB34	100
unclassified	41.7797		0
RB12	95.8927	NB03	100
unclassified	45.224		0
RB09	100	NB80	74.6814
RB09	100	unclassified	68.0779
unclassified	32.6599		0
unclassified	43.956		0
RB11	83.8983	NB12	100
unclassified	40.4903		0
RB10	100	NB10	85.5565
unclassified	40.8319		0
unclassified	42.2654		0
RB11	78.3898	NB35	78.8315
RB12	94.9707	unclassified	40.3376
RB12	100	NB03	100
RB11	95.7735	NB93	100
RB09	100	NB62	100
unclassified	52.8814		0
RB12	100	NB38	74.9787
RB11	82.7119	unclassified	34.6577
RB09	100	unclassified	40.5405
unclassified	45.9643		0
unclassified	42.2654		0
unclassified	67.9932		0
RB10	100	NB70	85.581
unclassified	42.2654		0
unclassified	50.2131		0
RB12	100	NB79	100
RB09	100	unclassified	48.6052
RB12	94.9707	NB91	100
unclassified	40.5748		0
RB10	100	unclassified	48.0102
RB10	100	NB44	100
RB11	75.0847	NB62	85.6298
RB11	100	NB82	100
RB12	100	unclassified	44.7749
RB10	89.2074	NB07	100
RB09	100	NB82	83.4039
RB12	95.7265	NB03	100
RB11	100	NB06	100
RB09	87.7223	NB03	100
unclassified	42.4473		0
RB09	100	unclassified	47.973
unclassified	65.8764		0
RB12	91.7016	NB30	91.5469
RB10	100	unclassified	41.3617
unclassified	31.5126		0
RB10	100	unclassified	62.9128
RB10	100	unclassified	41.9983
RB11	100	unclassified	66.2162
RB11	91.5254	NB32	91.5182
RB09	100	NB89	100
RB10	81.5346	unclassified	44.3787
RB10	100	NB07	74.4068
RB09	95.9356	unclassified	38.2727
unclassified	48.5081		0
unclassified	38.8889		0
RB11	100	NB59	100
RB11	87.743	NB91	82.3331
RB10	100	unclassified	42.8571
RB10	100	NB34	76.3853
RB12	100	NB79	95.8685
unclassified	59.9329		0
RB09	100	unclassified	47.3773
RB09	95.9356	unclassified	41.8428
unclassified	41.7797		0
RB10	100	unclassified	44.5946
RB09	79.7629	NB25	100
unclassified	51.6239		0
RB10	100	NB61	75.6986
unclassified	50.2131		0
unclassified	65.1771		0
RB09	100	NB59	100
RB12	94.8718	NB88	100
RB10	84.7069	unclassified	60.3376
RB12	71.2821	NB10	85.5565
RB09	100	NB41	100
RB09	100	NB59	90.6917
unclassified	38.5337		0
unclassified	36.4706		0
unclassified	50.5042		0
RB11	100	NB30	77.3457
unclassified	47.0588		0
RB10	94.9023	NB88	95.777
RB09	100	NB47	100
unclassified	50.5042		0
unclassified	33.5314		0
RB11	100	unclassified	53.1861
unclassified	50.2131		0
RB10	100	NB95	100
RB10	100	NB17	100
RB10	100	NB35	100
unclassified	35.5219		0
RB09	76.4606	unclassified	41.9983
RB09	100	NB56	100
RB09	73.4573	unclassified	36.1017
unclassified	47.8632		0
RB10	90.7251	unclassified	34.6577
unclassified	41.1665		0
RB10	90.7392	unclassified	38.7997
RB11	100	NB31	100
unclassified	36.4706		0
RB10	100	NB17	94.9239
RB11	100	NB83	73.8983
RB09	100	unclassified	49.5319
RB11	76.3559	unclassified	40.5405
unclassified	33.8148		0
RB11	100	unclassified	41.1017
RB10	90.7392	unclassified	38.1833
RB09	71.2955	NB09	100
RB10	95.7841	NB95	100
unclassified	51.3924		0
RB11	74.9153	NB12	100
RB11	100	NB15	100
RB09	82.7265	unclassified	34.6577
unclassified	40.8511		0
RB12	100	NB30	71.8512
RB10	85.6661	NB96	81.3717
unclassified	65.1771		0
RB12	90.7795	NB77	100
unclassified	43.038		0
RB12	94.8718	NB77	80.727
RB11	100	NB91	95.7735
RB11	100	NB75	95.777
RB09	100	NB37	100
RB11	81.6102	unclassified	68.686
RB11	100	NB22	100
unclassified	40.678		0
RB11	100	unclassified	36.402
RB09	78.4081	NB13	100
unclassified	42.2654		0
unclassified	50.2131		0
RB11	100	unclassified	37.1622
RB10	100	NB07	100
RB10	83.5174	NB36	100
RB10	100	NB63	94.941
RB10	100	NB63	94.941
RB11	87.7966	NB94	85.654
RB11	77.3729	unclassified	34.6577
RB10	90.6542	NB76	80.8277
unclassified	63.5043		0
RB11	100	NB07	95.7627
RB10	87.7655	unclassified	66.7797
RB09	100	unclassified	38.8514
RB12	100	NB94	100
RB11	100	NB07	100
unclassified	51.9658		0
unclassified	66.2997		0
RB09	83.3474	NB36	100
unclassified	45.5696		0
unclassified	46.9492		0
RB10	100	NB43	100
RB12	95.8974	NB48	76.3959
RB10	91.7587	NB35	78.4928
RB12	75.2137	NB21	71.4286
unclassified	37.1936		0
unclassified	44.8014		0
RB10	83.5174	NB90	100
RB10	100	unclassified	41.9983
RB09	80.5579	NB38	100
RB09	100	NB36	100
RB09	100	unclassified	44.4162
RB11	100	NB87	100
unclassified	36.7174		0
RB10	100	NB56	100
RB09	100	NB62	100
RB12	100	NB33	100
unclassified	29.0051		0
RB11	100	unclassified	69.8897
RB12	100	unclassified	44.8276
unclassified	42.2654		0
RB11	72.4429	NB51	95.7806
RB11	83.8983	unclassified	39.7795
RB10	100	unclassified	69.9062
RB09	87.7223	unclassified	37.0777
unclassified	61.1864		0
RB12	100	unclassified	34.5208
RB09	100	NB55	100
unclassified	39.1489		0
unclassified	44.4255		0
unclassified	44.4068		0
RB11	100	NB24	85.7022
unclassified	53.8655		0
unclassified	42.1995		0
unclassified	50.5042		0
unclassified	50.5042		0
RB11	73.6264	unclassified	46.3953
RB10	100	NB90	90.7549
unclassified	50.2131		0
RB11	100	NB95	100
RB12	100	NB24	100
unclassified	47.8408		0
RB10	100	NB06	100
unclassified	50.5042		0
RB10	83.5174	NB87	90.8784
RB12	76.6136	NB69	100
RB09	100	NB46	95.8893
RB12	100	NB66	100
RB09	100	unclassified	39.2706
RB12	82.4811	unclassified	39.6799
RB09	100	NB96	100
RB11	100	NB78	73.1064
unclassified	50.2131		0
RB10	90.8094	unclassified	43.7765
unclassified	43.0252		0
unclassified	40.9129		0
RB10	91.7587	NB37	100
RB09	100	NB08	100
RB10	91.5683	NB17	83.3333
unclassified	50.5042		0
RB09	93.2375	NB43	100
RB10	90.7392	NB08	100
RB09	100	unclassified	44.7749
RB11	100	NB51	100
unclassified	42.2654		0
RB10	100	NB80	85.7264
RB10	90.8241	NB68	87.6385
RB11	90.7627	unclassified	34.6577
RB11	100	unclassified	49.7483
unclassified	48.8235		0
RB09	91.5469	NB30	100
unclassified	65.3423		0
RB09	100	NB51	81.519
unclassified	37.7853		0
RB09	100	unclassified	49.5319
RB12	100	NB54	100
RB10	100	unclassified	46.2838
RB09	100	unclassified	56.1702
unclassified	59.3033		0
RB10	75.1265	NB90	80.5768
RB10	100	NB80	100
RB12	74.6154	NB62	100
unclassified	42.2654		0
RB10	100	NB44	76.4159
RB12	83.3194	NB80	79.2693
unclassified	44.7257		0
unclassified	43.8983		0
RB09	100	unclassified	34.6577
RB12	75.5556	NB86	100
RB10	100	unclassified	53.8007
unclassified	49.4941		0
unclassified	42.2654		0
RB12	100	NB17	100
RB09	100	NB50	100
RB11	86.4751	unclassified	67.9023
RB10	78.4992	unclassified	35.9018
unclassified	48.6898		0
RB12	100	unclassified	40.6224
RB09	100	NB67	100
RB10	100	unclassified	34.6577
unclassified	50.5042		0
RB10	87.774	unclassified	34.6577
RB10	83.5174	NB43	71.4406
RB12	100	NB61	100
unclassified	63.2858		0
RB11	91.7797	unclassified	42.0474
RB12	100	unclassified	39.4581
RB09	100	NB34	91.5601
RB09	94.9281	NB34	100
RB11	100	NB41	100
RB10	85.6661	NB90	100
RB12	100	unclassified	44.7749
unclassified	41.7797		0
RB09	100	NB89	100
RB09	90.8552	unclassified	35.2841
unclassified	40.8511		0
RB11	78.3601	NB29	100
RB09	100	NB95	75.4877
unclassified	59.5258		0
RB11	100	NB08	76.3713
RB09	100	unclassified	36.6581
RB12	91.6239	unclassified	44.7749
RB09	100	unclassified	40.4057
unclassified	54.4444		0
RB11	100	NB33	82.2335
RB11	100	NB02	100
unclassified	37.8992		0
unclassified	42.2654		0
RB12	100	NB83	100
RB10	91.7587	unclassified	41.4696
RB12	100	unclassified	44.7749
RB09	90.7705	NB50	81.0287
RB11	100	NB25	100
RB12	78.29	NB47	100
unclassified	38.8235		0
unclassified	55.5462		0
RB10	100	NB92	100
RB11	100	unclassified	39.6771
RB10	100	NB87	100
RB09	100	NB95	95.7591
RB12	85.5556	NB84	90.8552
RB11	100	NB93	78.2278
RB09	95.7735	NB29	71.489
RB09	100	unclassified	41.3007
RB12	86.4957	NB70	100
unclassified	39.5072		0
RB09	100	NB70	91.6879
RB11	70.7523	unclassified	43.824
unclassified	41.7797		0
RB12	79.6312	NB94	100
RB12	100	unclassified	44.5854
unclassified	41.7797		0
RB12	100	NB86	100
RB09	100	unclassified	49.5319
RB11	83.0938	NB86	100
RB11	100	NB60	100
RB09	100	NB44	73.3728
unclassified	47.2574		0
RB09	100	NB41	95.8404
RB10	100	unclassified	44.7749
unclassified	69.2438		0
RB09	100	NB07	81.3559
RB10	90.7251	NB14	100
unclassified	51.3924		0
unclassified	40.8511		0
RB11	71.5254	NB57	91.5541
unclassified	30.8874		0
RB10	100	NB14	93.2203
RB12	84.0738	unclassified	41.8644
RB09	73.3277	unclassified	35.9018
unclassified	61.2142		0
unclassified	44.9573		0
unclassified	46.0237		0
RB09	95.9356	unclassified	42.9297
RB12	100	NB70	100
RB10	100	NB70	100
RB10	100	NB95	100
RB12	81.3675	unclassified	39.1194
RB10	90.7251	NB67	91.6737
unclassified	35.641		0
RB09	100	NB76	100
RB11	100	NB91	100
RB09	100	NB96	94.9196
RB09	84.928	unclassified	35.3288
unclassified	50.2131		0
unclassified	40.8511		0
RB10	95.7841	NB06	100
RB09	90.8552	NB62	100
RB09	100	NB39	87.8378
RB09	100	NB44	83.0938
RB12	100	NB23	79.107
unclassified	50.5042		0
RB11	73.3051	NB36	100
RB10	95.7841	NB26	100
RB12	74.188	unclassified	41.9492
RB09	100	NB44	95.7735
unclassified	38.4746		0
RB09	100	NB40	80.5768
unclassified	55.3963		0
unclassified	42.2654		0
RB11	100	unclassified	41.3793
RB10	100	NB44	87.574
RB09	100	NB31	100
RB10	94.9023	NB56	100
RB09	100	NB78	100
RB09	100	NB09	100
unclassified	35.641		0
RB09	100	unclassified	43.9292
RB12	89.9413	NB50	100
unclassified	52.8814		0
RB09	100	unclassified	44.7749
unclassified	66.3248		0
unclassified	41.7797		0
RB11	100	NB47	100
RB09	73.3277	unclassified	39.3009
RB09	100	NB64	93.2432
RB09	100	NB80	81.3934
unclassified	41.4346		0
unclassified	42.2654		0
RB10	100	unclassified	41.4201
RB11	72.4429	NB86	95.9184
RB12	100	unclassified	38.8465
RB09	100	NB04	85.4949
unclassified	37.8903		0
RB10	100	NB52	100
RB12	85.641	NB21	100
unclassified	42.2654		0
RB10	100	unclassified	47.1284
RB12	100	NB42	100
unclassified	41.4141		0
RB09	100	NB71	91.7657
RB09	100	NB38	100
RB12	75.4701	NB87	100
RB09	84.1082	unclassified	42.2785
unclassified	69.7436		0
RB12	71.1111	NB69	100
RB11	94.9281	unclassified	58.7489
RB11	100	NB44	86.8132
RB09	86.7909	NB89	91.709
unclassified	41.4346		0
RB11	95.7735	NB86	95.9184
unclassified	40.5748		0
RB12	100	unclassified	38.7151
RB09	74.3438	unclassified	46.2256
unclassified	40.8511		0
unclassified	50.5042		0
unclassified	43.8715		0
unclassified	36.7227		0
RB12	90.8634	NB21	100
RB11	100	unclassified	44.8826
unclassified	41.7797		0
RB12	100	NB62	100
RB10	100	NB40	100
RB09	100	unclassified	44.7749
RB12	100	NB68	94.8849
unclassified	39.1489		0
RB11	79.7458	unclassified	34.6577
RB12	100	unclassified	42.1453
unclassified	34.5148		0
RB12	80.3419	NB60	100
RB12	100	NB93	100
unclassified	69.5174		0
RB12	79.0598	NB79	83.1366
RB10	78.4992	NB88	100
unclassified	41.7797		0
unclassified	64.8603		0
unclassified	42.2654		0
RB09	100	NB15	100
RB10	100	unclassified	46.1342
RB09	100	NB89	100
RB10	100	unclassified	39.1194
RB09	100	NB46	100
RB12	100	NB03	100
unclassified	34.7679		0
RB11	100	NB69	86.4979
RB11	94.9281	NB91	100
RB09	100	NB45	100
RB09	100	NB21	84.8739
unclassified	34.8343		0
RB11	100	NB43	100
RB12	94.8718	NB57	100
RB11	100	NB53	85.581
RB12	100	NB67	100
RB09	100	NB35	100
RB09	100	NB31	100
unclassified	47.6109		0
RB12	100	unclassified	66.5261
RB10	100	NB76	100
RB09	100	unclassified	43.0614
unclassified	42.2654		0
RB12	100	NB64	86.6554
unclassified	50.5042		0
unclassified	27.7825		0
RB10	100	unclassified	41.2162
unclassified	52.7613		0
unclassified	42.437		0
unclassified	37.1936		0
RB09	100	unclassified	41.1318
unclassified	68.1319		0
unclassified	52.6271		0
RB10	79.4393	NB26	87.743
RB11	100	NB29	85.7022
RB10	87.774	unclassified	41.9983
RB10	100	unclassified	34.6577
unclassified	42.2654		0
unclassified	40.7407		0
RB09	100	NB25	87.691
unclassified	52.7966		0
RB09	73.3277	unclassified	38.8186
RB10	95.7841	NB26	100
RB12	82.5641	unclassified	44.8567
unclassified	64.6063		0
RB10	100	unclassified	46.1149
RB10	75.446	NB64	100
RB09	100	NB22	95.8475
unclassified	51.3924		0
RB09	100	NB83	100
RB09	100	NB39	100
RB09	100	NB11	100
unclassified	69.6867		0
unclassified	65.199		0
RB11	100	NB48	83.9255
RB11	100	NB39	100
RB09	100	NB60	100
RB09	73.3277	NB70	100
RB12	86.4957	NB40	100
unclassified	35.6303		0
RB11	100	unclassified	63.45
RB10	95.7841	unclassified	47.7408
RB10	85.6415	NB04	100
unclassified	38.9076		0
unclassified	35.2494		0
RB10	100	NB07	100
unclassified	42.2654		0
RB12	100	NB60	95.858
unclassified	51.9898		0
RB09	73.3277	NB39	100
unclassified	37.384		0
unclassified	42.2654		0
RB11	100	unclassified	45.6686
RB11	85.7627	NB51	95.7806
RB09	100	NB60	100
RB10	100	unclassified	44.5008
RB09	100	NB80	100
RB11	100	NB71	86.5025
unclassified	34.6974		0
RB11	79.9153	NB23	100
RB10	83.5174	NB30	100
unclassified	42.2654		0
RB12	100	NB57	85.8108
RB11	100	unclassified	38.6383
RB12	100	NB52	95.7555
RB10	100	NB08	100
unclassified	36.4328		0
RB12	100	NB87	100
unclassified	41.7797		0
RB10	100	NB03	100
RB10	100	unclassified	58.0727
RB11	100	NB84	90.6859
RB11	100	unclassified	68.0307
unclassified	65.43		0
RB10	83.4739	NB15	78.5473
RB12	100	NB84	100
RB09	80.8637	unclassified	42.3629
unclassified	34.0319		0
RB12	100	NB27	100
RB10	100	unclassified	51.3924
RB09	100	NB60	100
unclassified	44.0506		0
RB09	90.7016	unclassified	60.5396
RB09	100	NB71	100
RB10	76.6442	unclassified	35.9018
RB09	100	NB29	85.7868
RB09	100	NB49	100
RB10	100	unclassified	43.6655
RB11	76.585	NB86	100
RB12	94.9707	NB42	100
RB12	100	NB41	87.5212
unclassified	69.3086		0
RB11	90.7627	unclassified	43.6441
RB09	100	NB77	87.8276
unclassified	42.2654		0
RB10	100	NB70	80.6616
RB09	100	NB90	81.5946
RB12	79.0444	NB56	100
RB09	100	NB02	100
RB12	90.7692	NB61	100
unclassified	42.2654		0
RB11	90.7627	unclassified	36.2795
unclassified	40.8511		0
unclassified	50.2131		0
RB12	100	NB48	100
RB09	100	unclassified	54.5992
RB09	100	NB27	100
unclassified	45.767		0
RB11	100	NB13	76.4606
RB11	100	NB48	100
RB09	87.743	NB78	100
unclassified	42.2654		0
unclassified	38.5461		0
RB10	91.7587	NB48	100
RB09	95.7735	unclassified	42.3986
RB09	100	NB71	100
RB12	100	NB91	94.9281
RB12	100	NB44	100
unclassified	42.2654		0
RB10	100	NB43	95.7877
RB09	78.4081	NB41	100
RB10	100	NB93	100
RB09	90.7861	unclassified	64.6661
unclassified	43.9496		0
unclassified	40.8511		0
RB10	100	unclassified	36.6245
RB09	100	NB70	95.9288
RB09	91.8713	unclassified	41.9983
RB10	74.1716	NB69	85.654
RB11	76.5254	unclassified	39.5093
unclassified	42.2654		0
RB12	73.1769	unclassified	45.1997
RB10	100	NB06	75.6118
unclassified	41.7797		0
RB10	90.8938	NB09	100
RB09	73.3277	unclassified	36.3483
unclassified	51.3924		0
unclassified	50.5042		0
RB11	100	NB07	100
unclassified	52.8814		0
RB11	100	unclassified	41.6107
unclassified	40.6751		0
unclassified	40.8511		0
RB09	100	NB50	100
RB11	100	NB06	91.8143
RB11	100	NB23	100
unclassified	35.9865		0
RB10	100	NB34	71.2702
RB10	82.158	NB44	76.5004
RB12	100	unclassified	41.9983
RB10	91.7587	NB30	100
RB10	100	NB76	100
RB11	87.6271	NB34	100
unclassified	35.5802		0
RB09	100	NB78	100
unclassified	29.1525		0
RB09	100	NB33	80.5415
RB12	100	NB48	100
RB12	94.9707	NB48	87.5635
RB11	100	NB22	100
RB12	100	NB24	100
unclassified	34.7234		0
RB11	100	NB81	74.8316
unclassified	59.0678		0
RB12	100	unclassified	36.9179
RB10	70.8581	NB80	79.2693
RB10	100	NB80	85.6415
RB10	90.7251	NB64	100
RB09	100	NB34	82.1824
RB11	85.5932	unclassified	40.3716
RB10	84.9073	NB69	82.2785
RB11	100	unclassified	47.2973
RB11	84.1082	NB45	100
unclassified	36.4706		0
RB10	100	NB55	100
RB10	100	NB56	82.3579
unclassified	47.7966		0
RB09	100	unclassified	39.1047
RB11	100	NB25	100
unclassified	36.5546		0
RB10	100	NB08	76.4557
RB09	100	NB32	100
unclassified	43.0976		0
RB11	95.7735	NB25	71.562
unclassified	40.6809		0
RB09	100	NB44	82.4176
RB09	85.6901	unclassified	34.6577
RB10	100	NB06	73.4177
